level_1,Date,Open,High,Low,Close,Volume,Time,Rank
41,2024-01-01,645.75,646.1,645.5,645.85,21625,09:56:00,1
42,2024-01-01,645.9,646.4,645.6,646.15,51663,09:57:00,1
43,2024-01-01,646.25,646.3,645.5,645.8,38119,09:58:00,1
44,2024-01-01,645.5,646.2,645.5,645.5,25053,09:59:00,1
45,2024-01-01,645.8,646.0,645.0,645.15,24150,10:00:00,1
46,2024-01-01,645.45,645.7,645.2,645.4,16391,10:01:00,1
47,2024-01-01,645.6,645.6,645.05,645.3,16088,10:02:00,1
48,2024-01-01,645.2,645.55,645.2,645.2,10137,10:03:00,1
49,2024-01-01,645.2,645.4,644.8,645.0,19982,10:04:00,1
50,2024-01-01,644.9,645.15,644.5,645.0,12960,10:05:00,1
51,2024-01-01,645.0,645.25,644.85,644.95,10553,10:06:00,1
52,2024-01-01,644.95,645.5,644.95,645.5,15867,10:07:00,1
53,2024-01-01,645.25,645.5,645.2,645.5,9823,10:08:00,1
54,2024-01-01,645.4,645.45,645.0,645.2,11524,10:09:00,1
55,2024-01-01,645.2,645.2,644.75,645.0,14448,10:10:00,1
56,2024-01-01,644.7,645.0,644.6,644.7,6960,10:11:00,1
57,2024-01-01,644.65,644.95,644.65,644.95,8221,10:12:00,1
58,2024-01-01,644.95,645.05,644.6,645.0,27017,10:13:00,1
59,2024-01-01,644.9,645.05,644.7,644.95,14301,10:14:00,1
60,2024-01-01,644.95,645.0,644.9,644.9,11043,10:15:00,1
61,2024-01-01,645.0,645.0,644.6,644.7,8561,10:16:00,1
62,2024-01-01,644.6,645.0,644.6,644.85,8041,10:17:00,1
63,2024-01-01,644.85,645.0,644.7,644.7,19011,10:18:00,1
64,2024-01-01,644.85,644.85,644.6,644.85,4170,10:19:00,1
65,2024-01-01,644.85,645.5,644.8,645.4,30061,10:20:00,1
66,2024-01-01,645.4,645.4,645.0,645.0,18872,10:21:00,1
67,2024-01-01,645.25,645.25,644.75,644.95,5726,10:22:00,1
68,2024-01-01,644.95,645.0,644.3,645.0,77982,10:23:00,1
69,2024-01-01,645.05,645.35,644.45,644.8,9320,10:24:00,1
70,2024-01-01,644.85,645.35,644.75,645.1,20661,10:25:00,1
71,2024-01-01,645.1,645.8,645.1,645.7,26809,10:26:00,1
72,2024-01-01,645.6,645.9,645.3,645.5,26822,10:27:00,1
73,2024-01-01,645.75,645.9,645.05,645.7,24492,10:28:00,1
74,2024-01-01,645.75,646.0,645.65,646.0,31934,10:29:00,1
75,2024-01-01,645.8,646.0,645.65,645.85,6839,10:30:00,1
76,2024-01-01,645.85,646.0,645.7,645.8,14650,10:31:00,1
77,2024-01-01,645.95,645.95,645.4,645.95,19812,10:32:00,1
78,2024-01-01,645.95,646.0,645.7,645.7,12953,10:33:00,1
79,2024-01-01,645.7,646.0,645.7,645.7,9305,10:34:00,1
80,2024-01-01,645.7,645.8,645.1,645.1,18953,10:35:00,1
81,2024-01-01,645.1,645.45,645.1,645.35,4363,10:36:00,1
82,2024-01-01,645.15,645.8,645.1,645.8,7856,10:37:00,1
83,2024-01-01,645.5,645.8,645.45,645.75,5308,10:38:00,1
84,2024-01-01,645.6,646.2,645.6,646.0,40340,10:39:00,1
85,2024-01-01,646.15,646.9,646.0,646.55,99547,10:40:00,1
86,2024-01-01,646.5,646.8,646.05,646.2,31299,10:41:00,1
87,2024-01-01,646.2,646.4,645.85,646.3,14912,10:42:00,1
88,2024-01-01,646.3,646.3,645.85,646.3,16994,10:43:00,1
89,2024-01-01,646.25,646.35,645.8,646.05,20800,10:44:00,1
90,2024-01-01,646.35,646.35,645.65,645.7,42923,10:45:00,1
91,2024-01-01,645.65,646.15,645.65,646.0,14657,10:46:00,1
92,2024-01-01,646.1,646.1,645.65,645.75,12010,10:47:00,1
93,2024-01-01,645.75,646.2,645.65,645.8,18157,10:48:00,1
94,2024-01-01,645.8,646.15,645.8,645.85,15533,10:49:00,1
95,2024-01-01,646.0,646.15,645.8,645.95,6903,10:50:00,1
96,2024-01-01,645.9,646.15,645.85,646.1,7471,10:51:00,1
97,2024-01-01,646.1,646.15,645.9,646.0,6451,10:52:00,1
98,2024-01-01,646.0,646.25,645.95,646.0,10114,10:53:00,1
99,2024-01-01,646.0,646.55,645.6,646.2,32848,10:54:00,1
100,2024-01-01,646.2,646.6,646.05,646.35,15281,10:55:00,1
101,2024-01-01,646.35,646.5,646.05,646.15,9388,10:56:00,1
102,2024-01-01,646.25,646.3,645.85,645.9,16810,10:57:00,1
103,2024-01-01,645.9,646.3,645.85,646.05,8070,10:58:00,1
104,2024-01-01,646.35,646.35,645.9,646.05,9249,10:59:00,1
105,2024-01-01,646.25,646.45,646.1,646.35,7620,11:00:00,1
106,2024-01-01,646.25,646.5,646.2,646.2,11980,11:01:00,1
107,2024-01-01,646.25,646.45,646.0,646.15,7749,11:02:00,1
108,2024-01-01,646.25,646.35,645.6,645.65,53486,11:03:00,1
109,2024-01-01,645.6,646.0,645.6,645.65,8208,11:04:00,1
110,2024-01-01,645.7,645.95,645.6,645.6,7164,11:05:00,1
111,2024-01-01,645.75,645.75,645.6,645.6,10848,11:06:00,1
112,2024-01-01,645.6,646.25,645.6,646.0,10758,11:07:00,1
113,2024-01-01,645.95,646.55,645.95,646.5,29767,11:08:00,1
114,2024-01-01,646.5,646.75,646.3,646.65,44654,11:09:00,1
115,2024-01-01,646.65,646.85,646.4,646.4,16679,11:10:00,1
116,2024-01-01,646.4,646.7,646.25,646.5,6419,11:11:00,1
117,2024-01-01,646.5,646.5,645.75,645.85,14234,11:12:00,1
118,2024-01-01,645.7,645.7,644.7,645.4,52704,11:13:00,1
119,2024-01-01,645.2,645.45,645.1,645.35,10106,11:14:00,1
120,2024-01-01,645.35,645.4,644.8,644.8,13083,11:15:00,1
121,2024-01-01,644.95,644.95,644.3,644.6,20111,11:16:00,1
122,2024-01-01,644.6,645.0,644.6,644.9,7457,11:17:00,1
123,2024-01-01,644.7,645.0,644.7,645.0,3543,11:18:00,1
124,2024-01-01,645.0,645.0,644.8,644.8,9660,11:19:00,1
125,2024-01-01,644.8,645.0,644.75,645.0,4525,11:20:00,1
126,2024-01-01,645.0,645.0,644.75,644.8,6668,11:21:00,1
127,2024-01-01,645.0,645.0,644.8,645.0,9075,11:22:00,1
128,2024-01-01,644.85,645.1,644.8,645.0,14924,11:23:00,1
129,2024-01-01,644.95,645.1,644.8,644.95,3225,11:24:00,1
130,2024-01-01,644.95,645.15,644.9,644.9,5615,11:25:00,1
131,2024-01-01,645.0,645.15,644.9,644.95,2520,11:26:00,1
132,2024-01-01,645.0,645.05,644.9,644.95,8443,11:27:00,1
133,2024-01-01,645.0,645.2,644.9,645.0,11573,11:28:00,1
134,2024-01-01,645.0,645.45,644.95,645.45,4051,11:29:00,1
135,2024-01-01,645.25,645.45,645.1,645.4,8725,11:30:00,1
136,2024-01-01,645.5,645.65,645.2,645.6,5630,11:31:00,1
137,2024-01-01,645.5,645.6,645.3,645.5,10078,11:32:00,1
138,2024-01-01,645.5,645.75,645.15,645.6,9798,11:33:00,1
139,2024-01-01,645.7,645.85,645.05,645.45,16698,11:34:00,1
140,2024-01-01,645.35,645.55,645.15,645.15,6214,11:35:00,1
141,2024-01-01,645.15,645.45,644.75,644.85,12313,11:36:00,1
142,2024-01-01,645.0,645.3,644.8,645.25,9234,11:37:00,1
143,2024-01-01,645.05,645.35,644.9,644.9,3619,11:38:00,1
144,2024-01-01,644.9,645.25,644.85,645.1,5408,11:39:00,1
145,2024-01-01,645.1,645.35,644.95,645.25,4509,11:40:00,1
146,2024-01-01,645.25,645.45,645.0,645.0,6565,11:41:00,1
147,2024-01-01,645.0,645.05,644.85,644.95,4237,11:42:00,1
148,2024-01-01,645.0,645.0,644.85,644.9,4434,11:43:00,1
149,2024-01-01,644.9,645.0,644.7,644.75,3122,11:44:00,1
150,2024-01-01,644.9,645.0,644.7,644.95,3045,11:45:00,1
151,2024-01-01,645.0,645.0,644.7,644.7,1379,11:46:00,1
152,2024-01-01,644.95,645.0,644.7,645.0,4324,11:47:00,1
153,2024-01-01,645.0,645.0,644.7,644.8,5526,11:48:00,1
154,2024-01-01,644.8,645.0,644.8,644.9,3154,11:49:00,1
155,2024-01-01,644.9,645.0,644.8,645.0,4302,11:50:00,1
156,2024-01-01,645.0,645.0,644.8,645.0,1703,11:51:00,1
157,2024-01-01,644.9,645.0,644.8,645.0,5303,11:52:00,1
158,2024-01-01,644.95,645.0,644.85,644.85,4671,11:53:00,1
159,2024-01-01,644.85,645.05,644.8,645.0,9292,11:54:00,1
160,2024-01-01,645.0,645.1,644.8,644.95,9728,11:55:00,1
161,2024-01-01,644.95,645.0,644.8,644.9,2226,11:56:00,1
162,2024-01-01,644.9,645.0,644.8,644.95,8541,11:57:00,1
163,2024-01-01,644.8,644.95,644.8,644.95,2395,11:58:00,1
164,2024-01-01,644.95,644.95,644.8,644.95,2019,11:59:00,1
165,2024-01-01,644.95,645.0,644.8,644.95,3627,12:00:00,1
166,2024-01-01,645.0,645.0,644.4,644.5,10080,12:01:00,1
167,2024-01-01,644.55,644.95,644.55,644.65,4730,12:02:00,1
168,2024-01-01,644.65,645.0,644.65,644.95,8596,12:03:00,1
169,2024-01-01,645.0,645.0,644.75,644.95,30155,12:04:00,1
170,2024-01-01,644.75,644.95,644.45,644.6,8027,12:05:00,1
171,2024-01-01,644.4,644.85,644.35,644.75,4096,12:06:00,1
172,2024-01-01,644.75,644.85,644.4,644.4,4190,12:07:00,1
173,2024-01-01,644.4,644.8,644.35,644.7,3221,12:08:00,1
174,2024-01-01,644.8,645.0,644.65,644.95,4223,12:09:00,1
175,2024-01-01,644.7,645.0,644.7,644.7,3694,12:10:00,1
176,2024-01-01,644.8,644.95,644.7,644.9,3451,12:11:00,1
177,2024-01-01,644.7,645.0,644.55,644.7,9888,12:12:00,1
178,2024-01-01,644.9,644.95,644.45,644.65,13465,12:13:00,1
179,2024-01-01,644.75,644.8,644.45,644.55,5502,12:14:00,1
180,2024-01-01,644.55,644.65,644.5,644.65,3898,12:15:00,1
181,2024-01-01,644.65,644.8,643.65,644.05,40603,12:16:00,1
182,2024-01-01,644.05,644.05,643.5,643.65,16701,12:17:00,1
183,2024-01-01,643.65,644.05,643.6,643.75,15896,12:18:00,1
184,2024-01-01,643.75,644.15,643.75,643.85,9844,12:19:00,1
185,2024-01-01,643.85,644.05,643.75,643.8,5141,12:20:00,1
186,2024-01-01,643.75,643.9,643.6,643.85,6912,12:21:00,1
187,2024-01-01,643.75,643.9,643.5,643.5,8573,12:22:00,1
188,2024-01-01,643.6,643.95,643.5,643.9,8887,12:23:00,1
189,2024-01-01,643.9,644.0,643.6,643.75,6318,12:24:00,1
190,2024-01-01,643.9,643.95,643.7,643.7,6794,12:25:00,1
191,2024-01-01,643.95,644.15,643.7,643.85,9052,12:26:00,1
192,2024-01-01,643.85,644.35,643.85,644.2,6018,12:27:00,1
193,2024-01-01,644.2,644.3,643.75,643.95,11621,12:28:00,1
194,2024-01-01,643.8,644.0,643.7,643.8,14795,12:29:00,1
195,2024-01-01,643.85,644.0,643.7,643.75,7643,12:30:00,1
196,2024-01-01,643.75,644.0,643.5,643.7,17540,12:31:00,1
197,2024-01-01,643.7,643.95,643.65,643.85,5601,12:32:00,1
198,2024-01-01,643.85,644.0,643.65,643.75,5577,12:33:00,1
199,2024-01-01,643.9,644.15,643.75,644.0,9636,12:34:00,1
200,2024-01-01,643.75,644.0,643.75,644.0,4119,12:35:00,1
201,2024-01-01,644.0,644.15,643.85,644.1,10902,12:36:00,1
202,2024-01-01,644.1,644.45,644.1,644.2,5763,12:37:00,1
203,2024-01-01,644.25,644.4,644.1,644.25,6028,12:38:00,1
204,2024-01-01,644.25,644.8,644.2,644.35,42743,12:39:00,1
205,2024-01-01,644.65,644.7,644.1,644.4,8169,12:40:00,1
206,2024-01-01,644.15,644.35,644.1,644.35,4761,12:41:00,1
207,2024-01-01,644.1,644.35,644.0,644.2,6612,12:42:00,1
208,2024-01-01,644.25,644.25,644.0,644.15,6865,12:43:00,1
209,2024-01-01,644.0,644.35,644.0,644.1,5753,12:44:00,1
210,2024-01-01,644.3,644.4,644.05,644.2,7553,12:45:00,1
211,2024-01-01,644.3,644.5,644.2,644.3,5830,12:46:00,1
212,2024-01-01,644.4,644.45,644.1,644.2,9762,12:47:00,1
213,2024-01-01,644.1,644.4,644.05,644.15,4202,12:48:00,1
214,2024-01-01,644.25,644.45,644.05,644.45,7899,12:49:00,1
215,2024-01-01,644.45,644.5,644.05,644.4,7489,12:50:00,1
216,2024-01-01,644.35,644.5,644.05,644.45,10463,12:51:00,1
217,2024-01-01,644.45,644.45,644.05,644.3,7863,12:52:00,1
218,2024-01-01,644.3,644.35,644.0,644.05,9210,12:53:00,1
219,2024-01-01,644.25,644.5,644.15,644.25,5744,12:54:00,1
220,2024-01-01,644.4,644.5,644.05,644.05,5704,12:55:00,1
221,2024-01-01,644.15,644.65,644.0,644.25,19046,12:56:00,1
222,2024-01-01,644.25,644.55,644.2,644.2,7784,12:57:00,1
223,2024-01-01,644.3,644.45,644.2,644.45,5893,12:58:00,1
224,2024-01-01,644.45,644.5,644.2,644.45,4519,12:59:00,1
225,2024-01-01,644.45,644.55,644.15,644.35,5431,13:00:00,1
226,2024-01-01,644.45,644.45,644.05,644.2,6965,13:01:00,1
227,2024-01-01,644.2,644.45,644.1,644.35,8034,13:02:00,1
228,2024-01-01,644.25,644.45,644.2,644.3,7007,13:03:00,1
229,2024-01-01,644.3,644.35,644.15,644.25,5972,13:04:00,1
230,2024-01-01,644.15,644.35,644.05,644.2,6547,13:05:00,1
231,2024-01-01,644.35,644.5,644.1,644.2,8257,13:06:00,1
232,2024-01-01,644.4,644.45,644.0,644.15,8585,13:07:00,1
233,2024-01-01,644.15,644.5,644.05,644.15,11864,13:08:00,1
234,2024-01-01,644.15,644.45,644.15,644.3,12162,13:09:00,1
235,2024-01-01,644.35,644.4,644.1,644.3,11019,13:10:00,1
236,2024-01-01,644.25,644.5,644.15,644.4,7050,13:11:00,1
237,2024-01-01,644.4,644.55,644.15,644.2,8423,13:12:00,1
238,2024-01-01,644.45,644.5,644.15,644.25,8311,13:13:00,1
239,2024-01-01,644.3,644.7,644.25,644.55,11120,13:14:00,1
240,2024-01-01,644.7,645.0,644.6,644.7,26343,13:15:00,1
241,2024-01-01,644.9,645.0,644.7,644.9,11755,13:16:00,1
242,2024-01-01,644.9,644.9,644.55,644.75,9887,13:17:00,1
243,2024-01-01,644.75,644.85,644.15,644.5,13525,13:18:00,1
244,2024-01-01,644.5,644.75,644.1,644.45,13730,13:19:00,1
245,2024-01-01,644.5,644.7,644.25,644.45,12534,13:20:00,1
246,2024-01-01,644.45,644.65,644.05,644.2,18654,13:21:00,1
247,2024-01-01,644.15,644.45,644.05,644.25,9990,13:22:00,1
248,2024-01-01,644.3,644.45,644.05,644.05,12187,13:23:00,1
249,2024-01-01,644.1,644.35,644.0,644.0,14634,13:24:00,1
250,2024-01-01,644.05,644.5,644.0,644.3,8976,13:25:00,1
251,2024-01-01,644.35,644.5,644.1,644.5,14855,13:26:00,1
252,2024-01-01,644.5,644.65,644.45,644.5,7455,13:27:00,1
253,2024-01-01,644.55,644.65,644.35,644.45,9175,13:28:00,1
254,2024-01-01,644.55,644.7,644.4,644.55,7832,13:29:00,1
255,2024-01-01,644.55,644.8,644.05,644.1,35174,13:30:00,1
256,2024-01-01,644.1,644.25,643.8,643.95,27099,13:31:00,1
257,2024-01-01,644.0,644.4,643.85,644.4,48838,13:32:00,1
258,2024-01-01,644.4,644.7,644.1,644.45,11052,13:33:00,1
259,2024-01-01,644.7,644.7,644.3,644.35,7899,13:34:00,1
260,2024-01-01,644.35,644.6,644.25,644.3,10614,13:35:00,1
261,2024-01-01,644.4,644.7,644.3,644.45,10144,13:36:00,1
262,2024-01-01,644.5,644.65,644.35,644.55,9967,13:37:00,1
263,2024-01-01,644.35,644.95,644.35,644.75,24769,13:38:00,1
264,2024-01-01,644.9,644.9,644.4,644.55,16981,13:39:00,1
265,2024-01-01,644.55,644.75,644.4,644.5,9855,13:40:00,1
266,2024-01-01,644.4,644.8,644.4,644.6,10272,13:41:00,1
267,2024-01-01,644.5,645.4,644.4,645.2,43764,13:42:00,1
268,2024-01-01,645.4,645.4,645.0,645.25,15224,13:43:00,1
269,2024-01-01,645.25,645.35,644.8,644.95,14551,13:44:00,1
270,2024-01-01,644.95,645.15,644.8,644.8,14696,13:45:00,1
271,2024-01-01,645.0,645.1,644.8,645.1,8573,13:46:00,1
272,2024-01-01,644.9,645.1,644.85,645.1,8216,13:47:00,1
273,2024-01-01,645.0,645.2,644.9,645.1,9296,13:48:00,1
274,2024-01-01,645.05,645.35,645.0,645.2,13657,13:49:00,1
275,2024-01-01,645.2,645.4,645.05,645.15,10234,13:50:00,1
276,2024-01-01,645.15,645.35,645.0,645.0,11292,13:51:00,1
277,2024-01-01,645.0,645.1,644.9,644.95,7500,13:52:00,1
278,2024-01-01,644.9,645.0,644.4,644.65,26289,13:53:00,1
279,2024-01-01,644.65,644.7,644.3,644.45,8469,13:54:00,1
280,2024-01-01,644.55,644.55,644.2,644.4,9999,13:55:00,1
281,2024-01-01,644.5,644.6,644.25,644.4,10095,13:56:00,1
282,2024-01-01,644.4,644.8,644.35,644.55,9257,13:57:00,1
283,2024-01-01,644.7,645.1,644.65,645.0,10793,13:58:00,1
284,2024-01-01,645.0,645.2,644.85,644.85,14503,13:59:00,1
285,2024-01-01,644.85,645.05,644.7,644.95,9825,14:00:00,1
286,2024-01-01,644.95,645.05,644.8,645.05,7531,14:01:00,1
287,2024-01-01,645.0,645.3,644.8,645.3,30674,14:02:00,1
288,2024-01-01,645.3,645.3,645.0,645.05,14602,14:03:00,1
289,2024-01-01,645.05,645.35,644.9,645.35,28569,14:04:00,1
290,2024-01-01,645.35,645.5,645.0,645.0,23749,14:05:00,1
291,2024-01-01,645.1,645.25,644.95,645.2,10932,14:06:00,1
292,2024-01-01,645.25,645.25,645.0,645.05,7048,14:07:00,1
293,2024-01-01,645.2,645.2,644.85,644.9,11403,14:08:00,1
294,2024-01-01,644.95,644.95,644.5,644.75,11703,14:09:00,1
295,2024-01-01,644.75,644.9,644.55,644.8,9348,14:10:00,1
296,2024-01-01,644.7,645.0,644.4,644.95,23573,14:11:00,1
297,2024-01-01,644.95,645.5,644.95,645.45,22621,14:12:00,1
298,2024-01-01,645.45,645.6,645.2,645.4,22262,14:13:00,1
299,2024-01-01,645.4,645.4,645.05,645.15,15055,14:14:00,1
300,2024-01-01,645.15,645.5,645.15,645.4,16027,14:15:00,1
301,2024-01-01,645.4,645.45,644.45,644.6,28408,14:16:00,1
302,2024-01-01,644.6,645.5,644.5,645.2,21059,14:17:00,1
303,2024-01-01,645.25,645.45,644.65,645.45,27405,14:18:00,1
304,2024-01-01,645.4,645.55,644.85,645.2,31432,14:19:00,1
305,2024-01-01,645.15,645.2,644.6,644.75,28329,14:20:00,1
306,2024-01-01,644.8,645.05,644.6,644.75,28092,14:21:00,1
307,2024-01-01,644.75,644.9,644.45,644.5,34528,14:22:00,1
308,2024-01-01,644.8,645.1,644.45,644.5,72617,14:23:00,1
309,2024-01-01,644.6,645.1,644.5,644.55,62666,14:24:00,1
310,2024-01-01,644.65,644.85,644.3,644.4,50118,14:25:00,1
311,2024-01-01,644.7,644.75,644.15,644.25,41642,14:26:00,1
312,2024-01-01,644.25,644.55,644.15,644.45,39820,14:27:00,1
313,2024-01-01,644.5,644.6,644.15,644.2,68021,14:28:00,1
314,2024-01-01,644.15,644.4,644.05,644.1,17234,14:29:00,1
315,2024-01-01,644.25,644.65,643.95,644.65,32163,14:30:00,1
316,2024-01-01,644.7,644.8,644.2,644.2,17238,14:31:00,1
317,2024-01-01,644.3,644.65,644.2,644.5,30652,14:32:00,1
318,2024-01-01,644.5,644.65,644.05,644.45,16784,14:33:00,1
319,2024-01-01,644.45,644.5,644.1,644.25,13724,14:34:00,1
320,2024-01-01,644.15,644.45,644.0,644.2,26091,14:35:00,1
321,2024-01-01,644.05,644.5,643.9,644.1,28393,14:36:00,1
322,2024-01-01,644.1,644.35,643.8,643.85,21075,14:37:00,1
323,2024-01-01,643.85,644.05,643.75,644.05,37693,14:38:00,1
324,2024-01-01,644.05,644.15,643.75,644.05,21594,14:39:00,1
325,2024-01-01,644.05,644.4,643.8,644.3,24783,14:40:00,1
326,2024-01-01,644.2,644.4,643.8,644.4,37694,14:41:00,1
327,2024-01-01,644.15,645.15,644.15,645.15,79256,14:42:00,1
328,2024-01-01,645.0,645.15,644.2,644.55,53172,14:43:00,1
329,2024-01-01,644.8,644.9,644.4,644.7,40890,14:44:00,1
330,2024-01-01,644.7,644.8,644.0,644.05,19836,14:45:00,1
331,2024-01-01,644.15,644.4,643.9,644.15,42062,14:46:00,1
332,2024-01-01,644.25,644.4,643.75,644.1,26478,14:47:00,1
333,2024-01-01,644.0,644.3,643.85,644.25,22186,14:48:00,1
334,2024-01-01,644.2,644.5,643.9,644.3,28054,14:49:00,1
335,2024-01-01,644.45,644.5,643.65,644.0,43657,14:50:00,1
336,2024-01-01,643.75,644.1,643.6,643.6,21288,14:51:00,1
337,2024-01-01,643.9,644.0,643.5,643.5,40079,14:52:00,1
338,2024-01-01,643.5,643.95,643.5,643.9,41175,14:53:00,1
339,2024-01-01,643.8,643.95,643.55,643.55,53272,14:54:00,1
340,2024-01-01,643.8,643.85,643.5,643.75,35757,14:55:00,1
341,2024-01-01,643.85,643.85,643.4,643.7,43102,14:56:00,1
342,2024-01-01,643.7,643.85,643.45,643.7,76788,14:57:00,1
343,2024-01-01,643.85,644.1,643.55,644.0,25227,14:58:00,1
344,2024-01-01,643.9,644.2,643.7,643.7,29592,14:59:00,1
345,2024-01-01,643.8,644.5,643.75,644.2,71744,15:00:00,1
346,2024-01-01,644.5,644.5,643.4,643.7,87753,15:01:00,1
347,2024-01-01,643.65,643.9,643.2,643.2,54979,15:02:00,1
348,2024-01-01,643.3,643.65,642.7,643.3,117434,15:03:00,1
349,2024-01-01,643.35,643.75,643.25,643.65,35551,15:04:00,1
350,2024-01-01,643.65,643.75,643.15,643.75,41391,15:05:00,1
351,2024-01-01,643.75,643.75,643.0,643.4,39544,15:06:00,1
352,2024-01-01,643.35,643.65,642.55,642.55,46117,15:07:00,1
353,2024-01-01,642.55,642.7,641.9,641.9,116462,15:08:00,1
354,2024-01-01,642.25,642.25,641.55,641.55,62813,15:09:00,1
355,2024-01-01,641.55,641.8,641.05,641.3,51149,15:10:00,1
356,2024-01-01,641.35,642.2,641.35,641.8,72138,15:11:00,1
357,2024-01-01,641.9,642.5,641.85,642.3,63103,15:12:00,1
358,2024-01-01,642.4,642.55,641.45,641.45,44729,15:13:00,1
359,2024-01-01,641.85,642.25,641.65,642.2,54343,15:14:00,1
360,2024-01-01,642.25,642.3,641.2,641.2,77606,15:15:00,1
361,2024-01-01,641.55,641.55,641.05,641.4,93226,15:16:00,1
362,2024-01-01,641.4,641.6,640.8,641.1,72151,15:17:00,1
363,2024-01-01,641.05,641.1,640.65,640.95,54774,15:18:00,1
364,2024-01-01,640.9,641.0,640.4,640.7,43689,15:19:00,1
365,2024-01-01,640.7,640.8,640.05,640.2,79794,15:20:00,1
366,2024-01-01,640.2,640.3,639.0,639.2,94986,15:21:00,1
367,2024-01-01,639.2,639.2,638.05,638.65,60060,15:22:00,1
368,2024-01-01,638.7,639.25,638.6,639.1,52999,15:23:00,1
369,2024-01-01,639.15,639.4,639.0,639.3,41224,15:24:00,1
370,2024-01-01,639.3,639.95,639.15,639.5,45593,15:25:00,1
371,2024-01-01,639.6,639.6,638.95,639.0,69028,15:26:00,1
372,2024-01-01,639.0,639.0,638.65,638.85,42258,15:27:00,1
373,2024-01-01,638.85,638.9,638.1,638.2,54224,15:28:00,1
374,2024-01-01,638.15,638.55,638.0,638.3,51557,15:29:00,1
375,2024-01-02,641.35,641.65,638.35,639.5,138514,09:15:00,1
376,2024-01-02,639.6,640.25,639.35,640.0,52042,09:16:00,1
377,2024-01-02,640.0,640.0,638.8,639.0,76197,09:17:00,1
378,2024-01-02,639.1,639.55,638.5,638.8,65699,09:18:00,1
379,2024-01-02,638.6,638.8,638.5,638.65,29631,09:19:00,1
380,2024-01-02,638.7,639.25,638.15,639.25,87138,09:20:00,1
381,2024-01-02,639.1,640.0,639.1,639.85,34568,09:21:00,1
382,2024-01-02,639.65,639.95,639.15,639.35,33243,09:22:00,1
383,2024-01-02,639.3,639.65,638.75,638.75,44514,09:23:00,1
384,2024-01-02,638.85,638.95,638.3,638.35,29927,09:24:00,2
385,2024-01-02,638.6,638.7,637.6,638.2,76737,09:25:00,1
386,2024-01-02,638.05,639.55,637.85,639.35,65431,09:26:00,1
